	DockID	Predicted	Expected	Predicted_Bin	Expected_Bin
124	152	6.54456122086	2.0	0.0	1.0
125	152	1.67773546733	1.0	1.0	1.0
126	152	1.549903016	1.0	1.0	1.0
127	152	1.85591471524	0.0	1.0	1.0
128	152	0.88601969585	1.0	1.0	1.0
129	152	2.17432943548	1.0	1.0	1.0
130	152	2.01386384655	1.0	1.0	1.0
131	152	2.02354372194	1.0	1.0	1.0
132	152	1.98279483131	3.0	1.0	1.0
133	152	4.19964144319	3.0	1.0	1.0
134	152	3.87629296487	3.0	1.0	1.0
135	152	3.85061934611	4.0	1.0	1.0
136	152	4.89681708649	4.0	1.0	1.0
137	152	4.73212835679	7.0	1.0	0.0
138	152	8.0566050515	15.0	0.0	0.0
139	152	16.460541711	16.0	0.0	0.0
140	152	16.2912847337	18.0	0.0	0.0
141	152	18.2102422209	21.0	0.0	0.0
142	152	20.9940329645	22.0	0.0	0.0
143	152	21.5971376285	23.0	0.0	0.0
144	152	22.4776299346	22.0	0.0	0.0
145	152	21.1164663021	22.0	0.0	0.0
146	152	21.2437040699	8.0	0.0	0.0
147	152	5.63995066348	0.0	0.0	1.0
148	152	-1.05421132794	1.0	1.0	1.0
149	152	1.43720598817	0.0	1.0	1.0
150	152	0.638537734138	0.0	1.0	1.0
151	152	1.02770751825	0.0	1.0	1.0
152	152	0.992022876155	2.0	1.0	1.0
153	152	3.24233195715	1.0	1.0	1.0
154	152	1.79965273262	0.0	1.0	1.0
155	152	0.818918985712	0.0	1.0	1.0
156	152	0.912217420876	0.0	1.0	1.0
157	152	0.939548402411	1.0	1.0	1.0
158	152	2.07506380194	0.0	1.0	1.0
159	152	0.791203381206	3.0	1.0	1.0
160	152	4.27797121189	0.0	1.0	1.0
161	152	0.426506743627	3.0	1.0	1.0
162	152	4.24277775345	4.0	1.0	1.0
163	152	4.80745244247	0.0	1.0	1.0
164	152	0.254768598319	3.0	1.0	1.0
165	152	4.12072775007	2.0	1.0	1.0
166	152	2.52382995744	5.0	1.0	1.0
167	152	6.11655346809	1.0	0.0	1.0
168	152	1.10190965387	4.0	1.0	1.0
169	152	5.06394045468	1.0	0.0	1.0
170	152	1.19752347048	0.0	1.0	1.0
171	152	0.634113585043	1.0	1.0	1.0
172	152	1.83104464944	0.0	1.0	1.0
173	152	0.653518648458	0.0	1.0	1.0
174	152	0.820998617673	0.0	1.0	1.0
175	152	0.790796160932	0.0	1.0	1.0
176	152	0.811974370784	0.0	1.0	1.0
177	152	0.803034523922	0.0	1.0	1.0
178	152	0.794175418955	0.0	1.0	1.0
179	152	0.78539315568	1.0	1.0	1.0
180	152	1.89005083598	1.0	1.0	1.0
181	152	1.72677815638	0.0	1.0	1.0
182	152	0.596627081194	3.0	1.0	1.0
183	152	4.05359455573	4.0	1.0	1.0
184	152	4.70361514852	4.0	1.0	1.0
185	152	4.5465599424	3.0	1.0	1.0
186	152	3.32883201108	2.0	1.0	1.0
187	152	2.33539951703	2.0	1.0	1.0
188	152	2.4937292284	12.0	1.0	0.0
189	152	13.6602585404	23.0	0.0	0.0
190	152	24.3989527816	15.0	0.0	0.0
191	152	13.6601489832	14.0	0.0	0.0
192	152	13.4395964641	15.0	0.0	0.0
193	152	14.4363214765	20.0	0.0	0.0
194	152	20.1051564266	21.0	0.0	0.0
195	152	20.4588320807	18.0	0.0	0.0
196	152	16.9038102228	18.0	0.0	0.0
197	152	17.2342023873	19.0	0.0	0.0
198	152	18.3468570573	19.0	0.0	0.0
199	152	18.2844385571	19.0	0.0	0.0
200	152	18.2858059092	20.0	0.0	0.0
201	152	19.3783241168	20.0	0.0	0.0
202	152	19.2283238824	23.0	0.0	0.0
203	152	22.5716597909	24.0	0.0	0.0
204	152	23.1916702274	24.0	0.0	0.0
205	152	23.0244090545	22.0	0.0	0.0
206	152	20.7141528984	27.0	0.0	0.0
207	152	26.582384564	25.0	0.0	0.0
208	152	23.5902327251	28.0	0.0	0.0
209	152	27.2800965854	27.0	0.0	0.0
210	152	25.5823382431	26.0	0.0	0.0
211	152	24.6730178416	24.0	0.0	0.0
212	152	22.5384646947	26.0	0.0	0.0
213	152	25.1273574622	28.0	0.0	0.0
214	152	27.0966935244	24.0	0.0	0.0
215	152	22.3816263084	28.0	0.0	0.0
216	152	27.4006220422	27.0	0.0	0.0
217	152	25.6486887529	25.0	0.0	0.0
218	152	23.6742479391	24.0	0.0	0.0
219	152	22.7793735858	24.0	0.0	0.0
220	152	22.9893345789	24.0	0.0	0.0
221	152	23.0630699086	25.0	0.0	0.0
222	152	24.2134711767	25.0	0.0	0.0
223	152	24.0668242816	28.0	0.0	0.0
224	152	27.407930806	28.0	0.0	0.0
225	152	26.9223688708	27.0	0.0	0.0
226	152	25.7984047664	25.0	0.0	0.0
227	152	23.6560764003	26.0	0.0	0.0
228	152	25.100096261	25.0	0.0	0.0
