	avail_bikes	timestamp
4098	6	2016-01-14 08:00:00
4623	5	2016-01-14 09:00:00
2485	3	2016-01-14 10:00:00
3374	2	2016-01-14 11:00:00
2161	4	2016-01-14 12:00:00
3970	3	2016-01-14 13:00:00
766	3	2016-01-14 14:00:00
106	4	2016-01-14 15:00:00
2374	3	2016-01-14 16:00:00
1756	7	2016-01-14 17:00:00
3256	9	2016-01-14 18:00:00
2531	9	2016-01-14 19:00:00
4311	7	2016-01-14 20:00:00
3703	7	2016-01-14 21:00:00
1028	6	2016-01-14 22:00:00
489	11	2016-01-14 23:00:00
2114	11	2016-01-15 00:00:00
4003	12	2016-01-15 01:00:00
3009	13	2016-01-15 02:00:00
2873	13	2016-01-15 03:00:00
2078	13	2016-01-15 04:00:00
1399	13	2016-01-15 05:00:00
796	13	2016-01-15 06:00:00
136	11	2016-01-15 07:00:00
4417	0	2016-01-15 08:00:00
4016	0	2016-01-15 09:00:00
3408	0	2016-01-15 10:00:00
2903	1	2016-01-15 11:00:00
1427	0	2016-01-15 12:00:00
4343	1	2016-01-15 13:00:00
506	3	2016-01-15 14:00:00
630	4	2016-01-15 15:00:00
1676	4	2016-01-15 16:00:00
2224	11	2016-01-15 17:00:00
2583	13	2016-01-15 18:00:00
3307	21	2016-01-15 19:00:00
4094	19	2016-01-15 20:00:00
4346	18	2016-01-15 21:00:00
252	19	2016-01-15 22:00:00
1163	18	2016-01-15 23:00:00
65	19	2016-01-16 00:00:00
3411	19	2016-01-16 01:00:00
3805	19	2016-01-16 02:00:00
4423	19	2016-01-16 03:00:00
357	19	2016-01-16 04:00:00
1105	19	2016-01-16 05:00:00
1536	19	2016-01-16 06:00:00
2336	18	2016-01-16 07:00:00
2913	17	2016-01-16 08:00:00
3355	13	2016-01-16 09:00:00
4007	8	2016-01-16 10:00:00
4719	5	2016-01-16 11:00:00
3069	2	2016-01-16 12:00:00
392	0	2016-01-16 13:00:00
4268	1	2016-01-16 14:00:00
4030	2	2016-01-16 15:00:00
3293	5	2016-01-16 16:00:00
2646	5	2016-01-16 17:00:00
2106	7	2016-01-16 18:00:00
1241	8	2016-01-16 19:00:00
1175	3	2016-01-16 20:00:00
226	2	2016-01-16 21:00:00
4656	2	2016-01-16 22:00:00
4051	4	2016-01-16 23:00:00
1189	6	2016-01-17 00:00:00
2989	6	2016-01-17 01:00:00
4788	7	2016-01-17 02:00:00
3973	7	2016-01-17 03:00:00
1104	7	2016-01-17 04:00:00
567	7	2016-01-17 05:00:00
1855	7	2016-01-17 06:00:00
1629	5	2016-01-17 07:00:00
3453	4	2016-01-17 08:00:00
2584	3	2016-01-17 09:00:00
4391	1	2016-01-17 10:00:00
3763	0	2016-01-17 11:00:00
2571	0	2016-01-17 12:00:00
614	0	2016-01-17 13:00:00
3790	1	2016-01-17 14:00:00
4690	1	2016-01-17 15:00:00
2411	1	2016-01-17 16:00:00
3566	2	2016-01-17 17:00:00
1233	2	2016-01-17 18:00:00
2112	2	2016-01-17 19:00:00
428	5	2016-01-17 20:00:00
1072	5	2016-01-17 21:00:00
4070	2	2016-01-17 22:00:00
4293	2	2016-01-17 23:00:00
4075	2	2016-01-18 00:00:00
2207	3	2016-01-18 01:00:00
41	3	2016-01-18 02:00:00
1042	3	2016-01-18 03:00:00
4188	3	2016-01-18 04:00:00
4477	3	2016-01-18 05:00:00
2492	3	2016-01-18 06:00:00
3093	2	2016-01-18 07:00:00
1582	0	2016-01-18 08:00:00
2262	0	2016-01-18 09:00:00
109	1	2016-01-18 10:00:00
722	1	2016-01-18 11:00:00
4767	0	2016-01-18 12:00:00
1312	0	2016-01-18 13:00:00
3424	2	2016-01-18 14:00:00
2423	0	2016-01-18 15:00:00
4314	0	2016-01-18 16:00:00
4011	0	2016-01-18 17:00:00
1099	1	2016-01-18 18:00:00
376	2	2016-01-18 19:00:00
2199	4	2016-01-18 20:00:00
1669	3	2016-01-18 21:00:00
3186	4	2016-01-18 22:00:00
2798	4	2016-01-18 23:00:00
4552	5	2016-01-19 00:00:00
1499	5	2016-01-19 01:00:00
863	5	2016-01-19 02:00:00
426	5	2016-01-19 03:00:00
4627	5	2016-01-19 04:00:00
4028	6	2016-01-19 05:00:00
3377	5	2016-01-19 06:00:00
2809	0	2016-01-19 07:00:00
2032	0	2016-01-19 08:00:00
1776	0	2016-01-19 09:00:00
674	0	2016-01-19 10:00:00
374	0	2016-01-19 11:00:00
3690	0	2016-01-19 12:00:00
1798	1	2016-01-19 13:00:00
2906	3	2016-01-19 14:00:00
3494	2	2016-01-19 15:00:00
3896	0	2016-01-19 16:00:00
4647	2	2016-01-19 17:00:00
272	1	2016-01-19 18:00:00
803	5	2016-01-19 19:00:00
1524	4	2016-01-19 20:00:00
1939	3	2016-01-19 21:00:00
2533	3	2016-01-19 22:00:00
3452	3	2016-01-19 23:00:00
4315	4	2016-01-20 00:00:00
1337	5	2016-01-20 01:00:00
714	5	2016-01-20 02:00:00
300	5	2016-01-20 03:00:00
4732	5	2016-01-20 04:00:00
3841	5	2016-01-20 05:00:00
3328	2	2016-01-20 06:00:00
2953	0	2016-01-20 07:00:00
1873	0	2016-01-20 08:00:00
1731	0	2016-01-20 09:00:00
633	0	2016-01-20 10:00:00
244	0	2016-01-20 11:00:00
3811	0	2016-01-20 12:00:00
2190	0	2016-01-20 13:00:00
2737	0	2016-01-20 14:00:00
3199	4	2016-01-20 15:00:00
3991	0	2016-01-20 16:00:00
4338	2	2016-01-20 17:00:00
228	5	2016-01-20 18:00:00
787	11	2016-01-20 19:00:00
1465	12	2016-01-20 20:00:00
1832	14	2016-01-20 21:00:00
2993	14	2016-01-20 22:00:00
3441	14	2016-01-20 23:00:00
3924	14	2016-01-21 00:00:00
2201	13	2016-01-21 01:00:00
293	12	2016-01-21 02:00:00
652	12	2016-01-21 03:00:00
3837	12	2016-01-21 04:00:00
4774	12	2016-01-21 05:00:00
2851	12	2016-01-21 06:00:00
3168	6	2016-01-21 07:00:00
1481	0	2016-01-21 08:00:00
1980	0	2016-01-21 09:00:00
348	0	2016-01-21 10:00:00
825	0	2016-01-21 11:00:00
4333	1	2016-01-21 12:00:00
1623	5	2016-01-21 13:00:00
3353	5	2016-01-21 14:00:00
2878	3	2016-01-21 15:00:00
4489	3	2016-01-21 16:00:00
4128	6	2016-01-21 17:00:00
1005	12	2016-01-21 18:00:00
453	16	2016-01-21 19:00:00
2087	15	2016-01-21 20:00:00
1343	16	2016-01-21 21:00:00
3083	14	2016-01-21 22:00:00
2630	13	2016-01-21 23:00:00
3062	15	2016-01-22 00:00:00
455	18	2016-01-22 01:00:00
2062	18	2016-01-22 02:00:00
1400	18	2016-01-22 03:00:00
3122	17	2016-01-22 04:00:00
2725	17	2016-01-22 05:00:00
4305	17	2016-01-22 06:00:00
3624	11	2016-01-22 07:00:00
936	2	2016-01-22 08:00:00
441	0	2016-01-22 09:00:00
1928	0	2016-01-22 10:00:00
1437	0	2016-01-22 11:00:00
586	0	2016-01-22 12:00:00
3479	0	2016-01-22 13:00:00
1527	0	2016-01-22 14:00:00
2066	1	2016-01-22 15:00:00
190	2	2016-01-22 16:00:00
738	3	2016-01-22 17:00:00
4036	3	2016-01-22 18:00:00
4605	8	2016-01-22 19:00:00
2879	8	2016-01-22 20:00:00
3126	10	2016-01-22 21:00:00
1586	10	2016-01-22 22:00:00
1982	0	2016-01-22 23:00:00
2904	0	2016-01-23 00:00:00
731	0	2016-01-23 01:00:00
1716	0	2016-01-23 02:00:00
2360	0	2016-01-23 03:00:00
2686	0	2016-01-23 04:00:00
3334	0	2016-01-23 05:00:00
4108	0	2016-01-23 06:00:00
4595	0	2016-01-23 07:00:00
292	0	2016-01-23 08:00:00
783	0	2016-01-23 09:00:00
1288	0	2016-01-23 10:00:00
1943	0	2016-01-23 11:00:00
1070	0	2016-01-23 12:00:00
2839	0	2016-01-23 13:00:00
1806	0	2016-01-23 14:00:00
1538	0	2016-01-23 15:00:00
1135	0	2016-01-23 16:00:00
255	0	2016-01-23 17:00:00
4801	0	2016-01-23 18:00:00
3639	0	2016-01-23 19:00:00
3242	0	2016-01-23 20:00:00
2520	0	2016-01-23 21:00:00
2203	0	2016-01-23 22:00:00
1613	0	2016-01-23 23:00:00
1827	0	2016-01-24 00:00:00
3676	0	2016-01-24 01:00:00
3029	0	2016-01-24 02:00:00
2657	0	2016-01-24 03:00:00
2038	0	2016-01-24 04:00:00
1662	0	2016-01-24 05:00:00
1044	0	2016-01-24 06:00:00
64	0	2016-01-24 07:00:00
4642	0	2016-01-24 08:00:00
4067	0	2016-01-24 09:00:00
3434	0	2016-01-24 10:00:00
2445	0	2016-01-24 11:00:00
1754	0	2016-01-24 12:00:00
4713	0	2016-01-24 13:00:00
444	0	2016-01-24 14:00:00
811	0	2016-01-24 15:00:00
1501	0	2016-01-24 16:00:00
1797	0	2016-01-24 17:00:00
2490	0	2016-01-24 18:00:00
3480	0	2016-01-24 19:00:00
3848	0	2016-01-24 20:00:00
4446	0	2016-01-24 21:00:00
82	0	2016-01-24 22:00:00
935	0	2016-01-24 23:00:00
1603	0	2016-01-25 00:00:00
4482	0	2016-01-25 01:00:00
2793	0	2016-01-25 02:00:00
3185	0	2016-01-25 03:00:00
1550	0	2016-01-25 04:00:00
1946	0	2016-01-25 05:00:00
565	0	2016-01-25 06:00:00
3997	0	2016-01-25 08:00:00
4471	0	2016-01-25 09:00:00
2847	0	2016-01-25 10:00:00
3147	0	2016-01-25 11:00:00
2362	0	2016-01-25 12:00:00
3812	0	2016-01-25 13:00:00
958	0	2016-01-25 14:00:00
574	0	2016-01-25 15:00:00
1941	0	2016-01-25 16:00:00
1648	0	2016-01-25 17:00:00
3007	0	2016-01-25 18:00:00
2610	0	2016-01-25 19:00:00
4601	0	2016-01-25 20:00:00
3925	0	2016-01-25 21:00:00
622	0	2016-01-25 22:00:00
333	0	2016-01-25 23:00:00
948	0	2016-01-26 00:00:00
2775	0	2016-01-26 01:00:00
4764	0	2016-01-26 02:00:00
3778	0	2016-01-26 03:00:00
1136	0	2016-01-26 04:00:00
161	0	2016-01-26 05:00:00
2143	0	2016-01-26 06:00:00
1767	0	2016-01-26 07:00:00
3548	0	2016-01-26 08:00:00
2560	0	2016-01-26 09:00:00
4755	0	2016-01-26 10:00:00
4179	0	2016-01-26 11:00:00
2628	0	2016-01-26 12:00:00
704	0	2016-01-26 13:00:00
4176	0	2016-01-26 14:00:00
4643	0	2016-01-26 15:00:00
3000	0	2016-01-26 16:00:00
3372	0	2016-01-26 17:00:00
1402	0	2016-01-26 18:00:00
2292	0	2016-01-26 19:00:00
484	0	2016-01-26 20:00:00
880	0	2016-01-26 21:00:00
4183	0	2016-01-26 22:00:00
4254	0	2016-01-26 23:00:00
343	0	2016-01-27 00:00:00
3112	0	2016-01-27 01:00:00
3737	0	2016-01-27 02:00:00
4630	0	2016-01-27 03:00:00
132	0	2016-01-27 04:00:00
1108	0	2016-01-27 05:00:00
1393	0	2016-01-27 06:00:00
2146	0	2016-01-27 07:00:00
2680	0	2016-01-27 08:00:00
3445	0	2016-01-27 09:00:00
3951	0	2016-01-27 10:00:00
4329	0	2016-01-27 11:00:00
3273	0	2016-01-27 12:00:00
474	0	2016-01-27 13:00:00
4594	0	2016-01-27 14:00:00
4052	0	2016-01-27 15:00:00
3169	0	2016-01-27 16:00:00
2933	0	2016-01-27 17:00:00
2021	0	2016-01-27 18:00:00
1642	0	2016-01-27 19:00:00
1128	0	2016-01-27 20:00:00
242	0	2016-01-27 21:00:00
4653	0	2016-01-27 22:00:00
4146	0	2016-01-27 23:00:00
4693	0	2016-01-28 00:00:00
1744	0	2016-01-28 01:00:00
832	0	2016-01-28 02:00:00
517	0	2016-01-28 03:00:00
4462	0	2016-01-28 04:00:00
3963	0	2016-01-28 05:00:00
3291	0	2016-01-28 06:00:00
2896	0	2016-01-28 07:00:00
1867	0	2016-01-28 08:00:00
1568	0	2016-01-28 09:00:00
1181	0	2016-01-28 10:00:00
568	0	2016-01-28 11:00:00
4213	29	2016-01-28 12:00:00
1951	29	2016-01-28 13:00:00
2509	29	2016-01-28 14:00:00
3250	29	2016-01-28 15:00:00
3779	25	2016-01-28 16:00:00
4235	24	2016-01-28 17:00:00
352	23	2016-01-28 18:00:00
754	23	2016-01-28 19:00:00
1580	21	2016-01-28 20:00:00
2153	22	2016-01-28 21:00:00
2876	23	2016-01-28 22:00:00
3251	23	2016-01-28 23:00:00
3627	24	2016-01-29 00:00:00
2260	23	2016-01-29 01:00:00
575	22	2016-01-29 02:00:00
856	22	2016-01-29 03:00:00
4062	23	2016-01-29 04:00:00
4509	22	2016-01-29 05:00:00
2891	22	2016-01-29 06:00:00
3343	20	2016-01-29 07:00:00
1594	11	2016-01-29 08:00:00
2366	6	2016-01-29 09:00:00
168	3	2016-01-29 10:00:00
792	2	2016-01-29 11:00:00
4486	2	2016-01-29 12:00:00
1397	4	2016-01-29 13:00:00
3261	2	2016-01-29 14:00:00
2867	2	2016-01-29 15:00:00
4702	3	2016-01-29 16:00:00
3897	2	2016-01-29 17:00:00
785	8	2016-01-29 18:00:00
219	15	2016-01-29 19:00:00
2350	17	2016-01-29 20:00:00
1358	17	2016-01-29 21:00:00
3518	19	2016-01-29 22:00:00
2978	20	2016-01-29 23:00:00
2965	18	2016-01-30 00:00:00
776	18	2016-01-30 01:00:00
1739	18	2016-01-30 02:00:00
2381	18	2016-01-30 03:00:00
2739	18	2016-01-30 04:00:00
3386	18	2016-01-30 05:00:00
3748	18	2016-01-30 06:00:00
4325	17	2016-01-30 07:00:00
353	15	2016-01-30 08:00:00
1003	14	2016-01-30 09:00:00
1346	13	2016-01-30 10:00:00
1998	11	2016-01-30 11:00:00
1119	12	2016-01-30 12:00:00
2711	13	2016-01-30 13:00:00
1824	13	2016-01-30 14:00:00
1724	11	2016-01-30 15:00:00
758	11	2016-01-30 16:00:00
193	12	2016-01-30 17:00:00
4531	8	2016-01-30 18:00:00
4037	3	2016-01-30 19:00:00
3187	3	2016-01-30 20:00:00
2460	3	2016-01-30 21:00:00
2179	6	2016-01-30 22:00:00
1474	6	2016-01-30 23:00:00
3318	7	2016-01-31 00:00:00
317	7	2016-01-31 01:00:00
1872	8	2016-01-31 02:00:00
1494	8	2016-01-31 03:00:00
3059	8	2016-01-31 04:00:00
